source_ip,destination_ip,protocol,source_port,destination_port,bytes_transferred,packets_sent,packets_received,timestamp,service_type,encryption,authentication,access_control,data_encryption,data_integrity,error_detection,error_correction,compression,routing_protocol,packet_size,latency,response_time,connection_duration,connection_status,class
6094,6094,2,6904,4941,2933,3459,9487,2192,2,1444,8046,7216,702,6537,9457,1516,4653,3132,7928,7962,8196,2708,3,0
6095,6095,1,1429,6197,2163,5968,8623,6107,1,47,9827,6804,3692,9174,9511,3524,2683,2953,1717,3022,991,4803,2,1
6096,6096,0,2471,7545,2934,6709,9303,4702,3,7277,6389,3699,4195,6535,9627,6823,812,3540,2603,8986,6869,5145,3,1
6097,6097,0,5681,9978,2998,1404,6005,851,0,5689,1481,8465,5478,5890,5009,2382,9517,9298,6804,9532,2442,6527,0,1
6098,6098,2,483,498,8173,6083,896,1538,1,4551,676,8631,1773,9467,3732,3902,6966,1062,7591,1872,1112,6152,1,1
6099,6099,0,6493,1310,8324,1302,9681,6042,1,5394,5658,219,2832,3319,4950,956,257,3711,9624,7389,7568,8378,2,1
6100,6100,1,8430,7659,6311,5327,3254,3736,1,3683,8117,9786,3364,5860,1578,7644,9261,6000,6719,1181,8620,2948,1,0
6101,6101,1,4051,3264,1571,7712,5106,6479,0,4484,3513,9247,7206,2231,9064,3938,1008,7802,1838,7760,435,4362,3,0
6102,6102,2,8468,6855,8908,8166,4620,9424,4,9456,3423,8669,7881,3732,9143,698,7282,1743,4128,4080,9180,9396,1,1
6103,6103,0,6754,1072,8408,5944,2212,3075,0,3116,9440,5882,1401,6496,4829,7977,6976,7118,9013,2404,6481,3325,1,1
6104,6104,2,194,2906,2735,988,1111,1985,3,7374,7882,7241,3594,9323,6033,3239,1393,4064,4091,8828,5861,6646,2,1
6105,6105,0,5733,5877,4925,2174,5318,4797,4,7194,4110,1706,9105,2951,1995,2664,3539,7990,3446,9986,7252,3916,2,1
6106,6106,1,8546,852,9565,3526,5705,826,0,5568,3574,9968,4839,2275,422,8893,4700,9940,6676,5702,7641,856,3,1
6107,6107,2,6908,885,8536,543,0,9485,3,3944,798,3161,6558,3052,2354,3852,6402,2753,2691,3929,3667,6342,2,1
6108,6108,0,2077,2291,9066,6859,5825,5300,0,6093,2895,5358,4568,170,7414,2076,8690,4717,4076,2646,3371,8143,3,1
6109,6109,1,4151,704,7792,9766,2401,1245,3,579,8046,2659,2850,6507,4481,3781,1048,4128,2396,8932,4430,2307,1,0
6110,6110,2,4578,2293,3639,1352,342,1284,2,8043,6585,3637,2468,4213,7235,7677,5426,3564,7537,6201,3210,7514,1,0
6111,6111,0,6494,6386,7024,2288,6396,5048,4,214,1801,1016,527,2580,2399,7728,7603,5203,3454,6738,6114,175,2,0
6112,6112,2,5083,6008,5617,7102,4199,9581,3,5611,5541,4574,5929,5974,8463,7802,2520,2378,7264,2552,8540,2772,2,1
6113,6113,2,3639,297,3855,6488,3161,9995,3,447,389,2677,3418,3879,9091,9218,7147,3290,9758,1941,7335,386,2,1
6114,6114,2,6472,1405,6472,3849,4746,8784,4,2622,610,4873,8653,8467,1687,9959,8196,455,4874,2391,6441,7822,2,1
6115,6115,2,2730,6736,1901,4338,1383,5929,3,908,5293,7902,7368,3354,2827,6104,2123,5623,2816,7415,707,8246,1,1
6116,6116,0,8544,3135,669,8446,3422,4826,0,2054,43,2401,5791,1452,2132,1142,3919,7556,8076,5464,7565,4049,0,0
6117,6117,0,4445,8188,6691,9939,2870,5818,3,8536,3577,9399,2387,4534,1812,14,3196,6649,1368,8473,523,2682,2,0
6118,6118,1,3865,8730,2326,9047,3512,1874,3,9141,3911,7622,1470,9061,9639,205,349,8577,339,8549,9180,6333,0,1
6119,6119,0,5883,7666,1154,5314,4973,8212,2,6521,9721,8312,3562,2216,6764,8715,9863,7733,5702,6794,5866,2016,0,0
6120,6120,1,8112,2158,1371,4958,7882,7157,2,3343,4219,6980,6916,7059,1459,6432,3107,3389,2459,1041,7216,3184,3,0
6121,6121,2,8564,7570,6284,8697,3376,6424,0,5683,4673,8848,7838,598,5714,5151,2113,3024,5780,657,3945,6596,1,1
6122,6122,0,7103,3090,5025,7694,518,5399,0,2062,2924,8601,3292,1830,6359,36,903,1463,5457,3869,8400,4876,1,0
6123,6123,1,6992,1025,9675,9889,2665,9865,5,2265,7521,3316,238,3687,9743,5025,2789,8417,1303,2246,7790,5517,2,0
6124,6124,2,7857,5008,2841,8633,8860,6889,4,8863,7736,2691,9017,9272,1574,7847,2666,749,7003,9857,9539,4667,0,1
6125,6125,1,5004,1435,4648,6136,4081,9797,2,3803,890,2130,2145,8108,2025,1075,4073,7276,8285,2942,6461,3266,3,1
6126,6126,2,403,9895,9916,5792,876,8053,3,8415,402,5091,8773,8579,3169,4635,5774,5585,264,7154,6459,9833,2,0
6127,6127,0,9224,1746,9983,9405,9731,9260,3,6351,3904,8860,2041,9003,5827,677,4693,3038,4601,6958,1790,3555,2,1
6128,6128,2,3930,1439,2336,1637,3268,7457,5,747,4727,164,4684,428,1533,7624,438,6751,6825,5930,4013,4009,1,1
6129,6129,2,8248,2483,4949,9416,7721,9242,4,5844,7562,3708,5103,2295,7354,1731,7008,5307,3095,850,574,6300,1,0
6130,6130,2,3702,330,490,3348,4720,5449,0,5334,8547,5781,9386,2464,5660,379,8604,1602,8443,2058,8202,6519,3,0
6131,6131,1,3091,4789,7001,1058,1554,878,4,870,684,9395,4914,6084,5331,2295,2242,4480,2849,1119,8549,4870,3,0
6132,6132,0,3888,4544,1819,5663,6109,8683,4,8897,1066,5069,2611,2950,69,665,2517,2848,1313,2786,4128,9853,2,1
6133,6133,1,3248,451,6840,2033,7601,4979,4,1014,5823,4330,5075,8597,7031,9830,8720,80,9644,5717,1715,900,2,1
6134,6134,1,1043,1493,1458,693,4258,7018,2,8134,8227,1954,9335,4548,7768,265,9380,8848,8392,4285,6701,4656,1,0
6135,6135,2,2166,4009,475,4644,8237,6475,3,8151,2911,7141,6579,6047,3769,1411,9765,663,6109,1125,3944,5784,2,1
6136,6136,1,6738,9042,9703,293,69,4908,2,8468,612,4520,5600,5426,455,3564,2917,3496,4418,5178,4359,2689,0,1
6137,6137,0,8067,4109,8106,5073,4632,4051,0,1245,5991,5147,3353,6681,896,9548,6087,923,4227,4556,151,1942,3,1
6138,6138,0,429,5249,4470,4367,7659,4265,1,922,7858,7815,1766,4260,265,2201,9425,5510,8532,3756,4664,4291,1,1
6139,6139,2,631,4554,2656,390,1149,6665,3,7356,8301,1266,7491,7636,5893,708,2322,8588,9319,2543,5149,7499,0,0
6140,6140,0,1642,3835,3897,9931,1515,4607,1,6365,3062,590,6161,7240,6451,3130,7261,3404,5648,9530,6249,3787,0,1
6141,6141,2,1844,9405,8669,8709,4445,293,5,5507,8817,4527,186,548,3668,2829,849,6078,5096,9992,5631,7679,3,1
6142,6142,1,6247,3267,3876,2593,1889,7186,3,5576,7870,5272,6430,797,3561,3205,6743,2807,6098,2789,8588,6080,0,1
6143,6143,2,2340,5953,5252,4881,9418,5584,4,1717,8698,9819,8340,416,5851,46,6517,6403,8358,9792,3888,3833,0,0
6144,6144,2,4459,7294,6351,7498,3549,4407,4,9654,7937,8410,8056,1768,8796,8917,4812,4812,8981,1496,2294,2154,0,0
6145,6145,1,9717,2078,1796,8922,1761,7174,5,6117,3227,427,5152,9206,5250,8486,7892,2161,3812,938,6793,6582,3,0
6146,6146,2,3132,5591,329,2105,2853,8170,2,4523,3212,49,5274,4102,2200,4114,7164,4242,9819,8011,5073,3641,0,0
6147,6147,1,3285,9084,6133,7628,8963,6557,2,1381,9328,1888,4811,9998,8066,9643,383,9796,3811,1333,62,6924,2,1
6148,6148,1,1079,6468,63,7473,6707,1062,1,1289,472,8603,7497,2989,491,2249,6497,5195,8638,9842,1785,7907,1,1
6149,6149,1,7182,9987,2752,3953,1568,8149,4,3896,4590,4758,7514,9869,3186,1379,1828,5981,1264,2580,8197,103,2,0
6150,6150,1,9492,6964,7728,1525,7410,9021,5,6968,6233,5299,5053,9900,8161,6221,4725,3542,1313,9683,8112,9746,1,1
6151,6151,0,3283,7976,8509,8203,97,7927,4,2140,9963,1646,2638,5248,8256,9249,6783,8294,6272,4770,2910,8189,2,1
6152,6152,1,5102,2317,4369,3935,2917,3715,1,8617,6550,4352,748,6497,7360,7999,4480,6598,8681,3796,8996,2785,2,0
6153,6153,2,7393,6154,534,2087,707,2704,5,9363,60,7809,8187,1605,610,3906,4171,3966,7358,7111,7388,4596,0,1
6154,6154,1,7607,1769,1194,6867,5941,9761,2,646,5723,5275,4248,2794,2552,7697,4825,4868,908,7350,2450,800,2,0
6155,6155,0,7606,421,7704,3964,106,190,1,1330,4022,7073,8797,5260,6436,6791,9029,4104,2114,9021,7337,7246,1,0
6156,6156,2,5844,2192,6146,5831,8875,6220,3,6356,1524,3686,2831,4911,4708,1206,9588,335,3428,9595,6669,7903,1,0
6157,6157,1,1026,9705,1247,5253,2198,1999,0,38,8238,3264,7011,5922,1563,414,3291,6738,9561,3310,8103,7730,2,0
6158,6158,0,2461,3942,2324,4728,6535,6079,1,5743,8450,4643,8691,6917,7261,8946,3302,2080,2677,3257,2845,7356,3,1
6159,6159,0,6726,9344,8676,2937,6747,8728,5,5274,7438,3151,6628,8296,9530,1564,1581,4292,9239,8326,9674,2794,0,0
6160,6160,0,6536,1344,8650,1233,1616,5368,3,3990,1997,8292,2551,2753,9651,4732,5675,5568,7308,9116,777,3428,3,0
6161,6161,0,5984,5448,9390,9640,2829,7880,4,2400,3829,8680,7291,191,667,1628,7248,6849,2227,3908,6658,3936,0,1
6162,6162,2,1803,8472,9277,6573,6004,3888,5,4312,5017,7143,5011,8891,7439,4521,5939,8591,2840,1902,3648,3257,2,0
6163,6163,1,2663,6995,5909,9038,226,8627,3,2852,5127,8308,2689,1275,8382,3258,3823,3356,991,5074,682,7570,3,0
6164,6164,1,5054,2560,6272,3222,90,7086,3,3845,8783,2824,4396,8123,3329,6483,1260,2876,7463,8615,7745,1710,2,1
6165,6165,0,4505,4332,1417,863,3637,8457,2,5899,7366,5115,2702,5755,2897,4517,9424,4398,6548,5329,290,9243,2,1
6166,6166,2,4868,7991,9876,3635,6481,6405,4,4229,741,5926,4193,3016,523,6483,2074,2864,3603,3224,6191,5475,0,0
6167,6167,0,7005,7512,4961,4613,5137,8863,5,3311,6479,3444,4471,7569,6437,2086,3292,7444,3010,8990,5203,2826,2,1
6168,6168,2,6486,256,8087,2411,7515,7096,3,342,3335,3765,5090,7026,7855,2033,3569,6105,5342,9697,5880,5828,2,0
6169,6169,2,9763,3800,1047,271,1570,4108,3,3456,4662,8753,5525,212,1486,952,3999,7955,1595,7992,5693,829,2,0
6170,6170,2,4305,2062,463,3154,6805,4935,2,3762,1062,1317,1547,7611,995,7922,3991,5836,59,5521,383,1339,3,0
6171,6171,0,8860,165,4545,2695,6356,420,1,1978,4303,7641,616,4312,9763,4161,8329,4223,6638,7227,863,7218,0,1
6172,6172,0,9138,7733,9584,87,4771,7111,0,3846,6220,4764,6232,7410,1260,5904,4850,159,169,6512,1119,5140,0,1
6173,6173,1,4021,4768,4416,8322,2652,4058,3,5282,4646,4271,876,6683,1778,8390,5171,7034,7893,7208,3723,6142,1,1
6174,6174,0,3403,767,4487,4862,8544,8275,2,4024,2201,873,8568,812,7414,1056,717,5578,1495,8288,9252,9305,0,1
6175,6175,0,1949,6547,5024,5135,6741,83,3,8220,4535,8341,1717,4692,2823,9009,2703,5644,7917,7560,7632,5118,3,0
6176,6176,1,511,435,7757,8076,9295,7222,0,314,2346,2381,8861,9446,7471,4800,798,2113,1594,628,8181,1610,1,1
6177,6177,0,9324,1017,6397,7876,4022,1102,1,9352,598,185,7021,5079,3805,5198,2456,6036,7996,2392,3374,8578,1,1
6178,6178,1,9416,8180,604,6554,2573,3345,3,5481,8829,1894,2976,7758,1601,1646,1129,5524,8529,3745,8199,9293,0,0
6179,6179,2,5550,9262,467,1280,1721,5225,1,2915,9829,2862,6726,4933,3060,1074,686,9389,6474,5550,8626,6884,2,0
6180,6180,0,6207,9005,503,1888,4703,2196,1,217,83,293,8415,2876,3107,8259,595,8136,4089,553,6071,3177,1,0
6181,6181,1,5994,2194,7493,6265,9788,3835,2,8752,9163,1474,5611,497,1327,568,1689,4474,8009,2870,5828,4439,0,0
6182,6182,1,258,2127,7175,8437,6872,6139,1,528,3392,3204,3332,5415,7058,7412,2206,7639,3886,5815,8784,2993,0,0
6183,6183,2,4019,8189,9187,7078,8777,6400,1,692,3032,6184,1184,8659,6343,5687,8749,5698,3646,2362,8186,1626,2,1
6184,6184,0,1322,9342,2828,221,7094,3599,5,4790,5603,6472,1404,6917,2388,9635,9405,3422,4671,3889,6058,9667,2,1
6185,6185,2,9233,3372,3759,6612,3678,6956,3,5391,6064,498,1914,7046,189,8644,8517,856,2476,369,4753,2735,3,1
6186,6186,1,8011,9812,5507,6351,240,5641,3,678,9843,2511,8103,2955,8903,2921,2320,7082,8939,1372,4297,4161,0,0
6187,6187,0,990,7538,1513,4960,3328,2138,2,1370,4684,4177,7846,4251,966,5167,8737,2620,2098,5247,8408,1843,1,1
6188,6188,2,7069,7895,8223,844,1269,8738,3,1268,4794,5371,1733,1354,7146,25,5296,6773,2795,3929,1442,1580,1,0
6189,6189,2,2608,9220,2303,3002,7085,5968,4,7016,9629,7662,4905,482,6941,3109,4064,1186,9813,7043,8635,3145,2,1
6190,6190,1,1847,9840,3383,8977,5240,1663,2,2703,415,8193,9584,8462,1715,624,5158,8983,7399,2263,5883,3904,3,0
6191,6191,0,6874,3329,1565,8891,1992,2052,4,6453,4116,8242,5900,1649,9152,240,2470,4575,7543,7082,832,1856,2,1
6192,6192,0,9899,7655,6696,6567,6343,2325,2,805,9697,5670,5498,7546,9258,3198,4731,9741,5065,9002,8506,6734,2,0
6193,6193,2,9796,1674,1059,3589,2524,8785,2,3179,4828,4760,2647,8143,4120,4635,9050,4199,3849,7501,9262,2100,3,1
6194,6194,1,1025,1747,1379,1507,9143,6033,5,2158,4655,7271,4239,9620,171,7896,8296,2256,9185,2504,5917,7618,3,0
6195,6195,1,8738,5060,4916,166,1372,2660,0,6080,1344,4529,1305,5846,1453,9876,5247,5006,2250,3876,5605,7069,1,0
6196,6196,2,7812,1256,1391,7415,9921,3732,4,1225,1920,949,1332,8517,2008,1755,1172,6799,6479,6962,4504,86,3,1
6197,6197,0,7073,6031,3664,7660,2186,7839,3,6775,9174,5154,2207,1173,6274,2687,4271,6174,8623,874,770,6578,0,0
6198,6198,2,8811,1372,6025,7011,891,6367,1,2791,6843,6485,4570,4817,250,2167,1106,1325,3309,8128,1335,3311,1,1
6199,6199,0,6459,250,4794,2635,9995,2076,1,3446,6750,3253,1672,4711,9643,7197,6349,4016,7330,5374,8878,576,3,0
6200,6200,2,9936,3438,1109,6426,8782,7073,3,8040,9613,1486,899,2955,8241,7035,628,725,522,2735,2718,2939,0,0
6201,6201,2,6421,34,9413,8602,5908,1471,4,5360,7794,6721,2551,6104,6650,8963,4740,303,3971,1014,7218,8952,3,1
6202,6202,2,4263,1228,354,5272,5245,5480,4,7893,9879,9866,2739,7922,7920,4587,2034,6259,748,7181,6909,5938,0,0
6203,6203,1,9905,9486,1335,2530,5277,6437,0,3076,5446,6167,8781,8543,5724,6055,81,8234,197,651,1660,5962,3,1
6204,6204,2,9843,5671,9344,2767,8069,3415,1,2842,5603,7482,1658,6953,3316,218,303,1736,8960,8412,7723,3850,1,0
6205,6205,0,3960,8511,152,6230,8943,422,1,9313,145,4404,2025,2972,1997,8594,4588,7636,1191,5186,2264,5484,1,0
6206,6206,1,9578,4130,783,6208,133,878,0,9153,8257,4645,9366,6449,2491,6363,8270,3599,8121,7947,9783,3132,1,0
6207,6207,2,8173,2222,874,449,6073,3786,1,5879,5048,1092,298,2254,1957,4666,2622,4693,5266,9959,8401,1208,3,0
6208,6208,0,6611,1334,2152,6365,5671,3320,2,2353,5600,9527,3579,5626,7657,8299,4070,7761,9817,4146,5009,8971,1,0
6209,6209,1,961,1709,9459,8919,7123,2369,5,5420,7771,219,7259,6043,6175,4892,5211,8400,9945,9654,2595,2649,1,0
6210,6210,2,1821,4505,172,1341,7676,1741,0,4792,8355,8140,3999,4364,3107,9003,1984,4019,9097,9072,3022,9533,2,0
6211,6211,1,5039,1802,1527,3930,3558,4552,0,9569,9730,3459,2742,4859,1402,2948,501,8750,5451,6333,8555,5556,0,0
6212,6212,1,3269,3217,1434,8067,8797,1430,1,6901,7655,2454,1007,6702,3304,7184,4181,6840,6825,6622,718,6507,3,0
6213,6213,2,2271,1540,5228,3935,4222,6441,0,9648,2082,416,6638,3703,164,2183,3459,8596,8377,256,7923,1019,3,1
6214,6214,0,1296,7820,4472,8718,3001,7012,1,5926,6439,2794,7474,3082,5302,9990,8391,2354,2284,479,1995,3806,0,1
6215,6215,2,5179,9828,3151,8436,2197,8022,2,6121,6712,2988,353,9914,2381,6387,5601,9692,8028,7309,1355,4416,1,0
6216,6216,2,6946,3345,5030,2670,3845,6083,3,6814,2955,7848,8503,95,664,9888,4256,387,1657,1013,2165,7938,1,1
6217,6217,0,5284,1343,4498,6465,9536,5678,2,3271,6744,6744,7977,7005,2503,2556,7082,5402,6813,2646,2034,3633,1,0
6218,6218,1,2610,3214,2518,5570,1824,3926,2,6544,6511,3537,2678,1525,2378,9065,9520,8460,8967,7900,2396,7665,1,1
6219,6219,1,4212,9963,8288,2839,7916,7691,2,881,4906,7247,1097,2321,335,2093,719,7598,3829,385,2277,4613,2,1
6220,6220,2,5919,4802,2340,5032,3311,5842,5,1415,2662,3228,5517,209,2039,8705,162,2092,1484,9241,5454,38,2,0
6221,6221,1,6664,3150,4792,5639,4434,1831,0,9741,8267,4404,2503,2816,219,509,2948,576,2970,1519,3262,1565,1,1
6222,6222,2,3763,4194,2,7675,6577,3565,2,4863,5435,3662,6458,3469,1253,8904,2672,694,9498,8469,5307,8460,3,1
6223,6223,1,8101,1862,5097,9139,8764,5297,3,3905,55,7519,4877,8224,2858,4835,2126,8152,6872,1169,8311,9952,3,0
6224,6224,2,856,9758,9587,7390,1415,3941,2,9999,9753,455,8017,3198,6056,1076,2029,3933,702,7594,2931,8136,0,1
6225,6225,1,7037,7972,1060,111,8552,9377,5,802,849,8274,474,3281,7354,869,623,3085,9407,57,3016,54,2,1
6226,6226,0,5203,3501,7357,8882,6558,1242,1,7612,4795,3538,6619,8692,1776,6191,335,8062,837,1186,9619,1433,2,0
6227,6227,2,1747,6177,9511,4943,5571,6936,0,745,6033,7540,8908,2594,1109,6574,5558,6862,9405,7205,3113,9972,3,1
6228,6228,2,4348,3319,3149,9279,4483,8909,1,7844,159,3330,7905,9788,5984,3234,3858,8964,5302,6872,7657,9396,0,1
6229,6229,1,2027,4574,5768,3920,4867,8838,0,4513,7429,8682,4872,2153,4680,555,3435,513,4276,1159,1405,5283,3,1
6230,6230,2,6511,9179,266,8851,2859,8853,0,7078,1463,4831,4110,1052,4278,45,3131,3464,2302,2881,4965,455,0,1
6231,6231,1,4837,503,189,4618,5295,8557,2,570,1960,1100,8575,7001,9680,8182,4688,2416,5396,3780,5869,7842,3,1
6232,6232,2,4540,7228,9829,6795,4001,3914,4,9910,2147,9036,8205,6859,7013,2620,3979,8634,5421,9839,5606,1876,1,0
6233,6233,0,5839,3934,3859,4989,5351,8451,0,9006,3082,9533,9217,7888,6903,8885,9792,8290,2233,8484,5290,5546,2,1
6234,6234,2,4655,5748,1706,5644,4632,6856,3,8319,5736,83,9953,5396,7962,9171,7293,2256,8960,5750,6636,9076,2,1
6235,6235,0,8385,8716,6947,3498,8062,4739,2,6038,2463,9579,2420,4470,2163,4562,1380,7751,8373,7053,1895,653,0,1
6236,6236,2,5533,7262,4645,8834,1800,8557,1,6115,2165,4570,4503,2056,9025,3377,6596,9749,5161,5345,8690,7536,3,0
6237,6237,2,4032,1549,8820,9265,6861,748,1,9164,4984,8453,4126,9804,1421,1530,618,3150,2159,9521,5246,4230,1,1
6238,6238,1,4899,424,2068,3429,1684,4535,5,9809,7157,6336,1206,4917,7588,4854,3371,6771,5969,6578,4492,2109,2,0
6239,6239,2,7016,8527,591,896,7763,296,4,3178,6013,5581,5476,4656,6944,9400,5310,8547,2954,6534,9590,6578,2,1
6240,6240,0,8040,1744,8385,5839,2647,2224,1,7382,9627,6502,8837,9571,1154,9200,5199,3453,4955,7066,2642,118,0,0
6241,6241,1,8766,1614,2894,7857,4352,1480,2,1188,9617,8339,6586,3099,5667,8897,305,9436,8129,9334,3264,915,1,1
6242,6242,0,7582,2738,9916,777,2939,7571,5,7897,6606,5098,7100,3794,6753,689,3172,9974,9643,4312,1886,7781,3,1
6243,6243,1,5134,1702,6603,1600,2926,8918,0,5156,7219,1088,8258,2287,6519,6002,5568,3199,1777,5495,3520,8786,2,0
6244,6244,0,1672,8075,9163,9200,8290,2015,1,5635,2769,2160,6950,2450,3927,9721,5113,2580,4814,2248,5200,1350,2,0
6245,6245,1,4331,6683,7095,5238,3533,3847,2,5719,8987,3059,9966,8822,2861,1844,1137,3752,1758,6663,2161,5557,3,0
6246,6246,0,676,4996,7828,8144,8785,756,1,3589,3201,620,1986,1290,6652,9175,473,5499,2206,1437,9671,4866,1,0
6247,6247,2,3937,9074,7411,8542,6555,484,2,5697,4222,5641,133,2962,332,7059,4714,6535,4768,249,9012,1089,1,1
6248,6248,2,1096,1339,3904,9909,7453,8568,5,5035,2089,4337,6627,9132,9236,8682,5354,6997,2011,939,8786,8443,1,1
6249,6249,0,6895,6241,9788,4178,9200,8427,1,4026,1505,435,1266,3245,7317,2558,4611,8776,1630,7427,244,3514,3,0
6250,6250,0,2232,1521,7058,9772,499,1444,3,266,9931,5736,4262,1475,9189,990,8481,4543,4990,5026,6552,2816,1,1
6251,6251,2,8086,1989,4917,6754,8945,1075,1,4060,9253,8461,7118,8540,730,7004,8088,704,7415,3147,5261,1100,1,1
6252,6252,0,3465,4991,8164,4342,7461,6099,3,2383,3675,4208,6947,7686,3234,2140,6605,3168,9142,8747,6252,200,0,0
6253,6253,1,6941,6649,1817,8849,5085,7033,2,4095,9902,3990,3461,607,7281,7311,2878,5147,3870,43,2579,2963,1,1
6254,6254,1,4015,7465,804,3617,7501,4479,3,8171,4608,7620,1889,7867,2649,901,7788,2615,5877,7026,4580,102,2,1
6255,6255,2,9918,5650,1624,1217,6612,1465,4,9885,162,2243,4988,2064,8800,9691,224,2221,5718,278,1641,9329,2,0
6256,6256,2,6214,9106,6005,7437,4562,3953,3,4191,3843,5075,8779,2542,919,7676,3612,1076,4621,6343,317,7330,2,1
6257,6257,2,5450,496,9179,3579,3158,6303,3,4913,4140,1686,1338,9653,7671,4491,9733,9746,9547,6559,3357,7367,1,1
6258,6258,2,6490,3721,8826,7879,1964,2048,0,1355,3192,3760,6161,3831,1488,943,6699,6638,860,2670,3815,5701,1,0
6259,6259,2,1567,4394,5430,7809,3033,4752,2,1717,762,643,2068,3455,4045,945,7012,594,8554,4546,7103,5007,1,1
6260,6260,2,1110,463,1334,9850,1166,4288,5,5776,9623,2723,9795,4088,9326,5849,7689,9932,7196,446,71,6240,3,1
6261,6261,2,3297,1621,2528,5980,7304,9279,4,5428,788,8926,1054,4103,7419,8628,2647,4219,6691,4826,8359,6515,2,0
6262,6262,0,9013,4064,1245,9521,1152,301,0,3486,8341,2,2418,528,2962,2136,6697,3648,9927,94,635,1287,0,1
6263,6263,0,2705,7312,2018,5979,2953,1670,5,9097,5831,4824,5977,3338,8701,5271,2862,6832,7578,5757,1513,3846,3,1
6264,6264,1,175,2593,1923,9,1051,6754,5,9154,9279,8772,6271,1835,8770,9174,5851,1126,6040,1282,90,3150,1,0
6265,6265,1,8351,9170,9029,375,35,607,5,3679,6481,2611,9188,5136,6411,1359,9443,1719,1387,8744,4160,6168,3,0
6266,6266,0,1652,6712,7091,1208,3971,5767,2,4205,2354,3725,6721,2450,7426,3714,3909,3690,7557,1165,4759,6411,1,0
6267,6267,2,1314,169,1570,3625,5482,5126,5,5623,6736,4375,8568,2566,7653,6699,3850,6958,1102,918,2669,6900,1,0
6268,6268,2,7391,9608,331,7193,6347,6890,3,250,5113,7631,9223,8650,3407,1820,6475,305,5797,6229,2363,4359,0,1
6269,6269,1,3979,8741,2927,59,258,3753,0,3191,1619,2239,3,1838,3050,8089,6173,5145,2603,1228,3048,381,2,1
6270,6270,0,9826,3046,8121,9715,3828,7372,4,974,6994,3512,8283,1994,9474,9034,9705,2231,7754,909,3821,5359,0,0
6271,6271,0,5836,7643,8115,7964,4529,4914,4,867,4202,3409,1933,7925,6428,8647,3725,3201,6254,3145,28,1644,3,1
6272,6272,1,903,4879,6777,9498,2588,1090,4,6542,1424,7609,7609,9798,9702,8725,1969,1104,300,4592,6960,1488,2,1
6273,6273,1,1738,672,981,1101,1362,4596,5,4719,5310,1555,6686,3909,5965,9037,4323,7029,8493,599,2447,3375,1,1
6274,6274,0,8753,5847,6498,6561,7965,8054,1,4032,896,5153,5762,6651,7362,5890,7961,2887,5309,6841,870,4043,1,0
6275,6275,0,9743,9113,9938,3435,7282,1263,0,673,6031,1898,5334,1373,9171,7744,3385,2001,5849,1466,8311,9597,0,0
6276,6276,2,4364,1738,5357,1513,5141,6482,0,5347,7088,7679,4922,5596,5817,587,5955,7656,2724,1579,1250,1425,0,1
6277,6277,1,1839,5964,4133,8146,1524,5027,4,5760,6232,2303,302,6011,2098,525,2135,2240,1456,9145,1823,4280,2,0
6278,6278,2,4612,5528,7243,7326,7760,1015,2,3976,2453,9329,626,147,2722,6693,869,9939,5389,2637,7518,901,2,0
6279,6279,2,8188,3323,8048,813,3125,1755,2,3162,7797,9624,5306,9168,2468,1056,5283,5102,5537,8401,4456,4310,0,1
6280,6280,2,997,6712,363,9806,2458,2623,0,6549,4444,2910,141,6102,6352,251,1737,5108,4004,8719,5346,3852,3,0
6281,6281,2,2400,6682,4850,7065,2058,2674,3,8430,7542,1678,8159,5273,8776,5452,9212,8942,4238,1867,4023,2623,1,1
6282,6282,0,3113,7300,7536,5339,4751,9910,1,5609,495,8572,7625,707,7074,9888,8641,4325,7595,5666,7437,9375,0,1
6283,6283,0,4168,9310,4264,5932,8646,7348,2,3462,7176,3060,5867,3765,5487,9833,2803,7218,3626,3977,3844,5589,3,0
6284,6284,2,1556,9397,7052,8823,2226,7618,2,7873,6382,2713,521,6620,8824,480,7757,4311,4638,5958,59,9182,0,1
6285,6285,2,1621,2234,7289,8988,9186,8007,4,6014,8689,6833,2259,2818,5473,2946,5725,2071,3725,297,7409,4256,1,1
6286,6286,1,2180,5076,4606,5810,7667,123,0,6518,8824,9901,2616,8707,5963,9708,4050,8373,6371,8938,1642,3004,0,0
6287,6287,2,4148,3822,1358,1879,6997,9386,3,1435,795,6888,4499,2137,4150,4713,6556,4049,798,7548,7360,9912,2,1
6288,6288,0,6166,288,6878,6137,8100,1388,4,5099,1460,2367,7899,175,1288,1773,9451,2327,2588,7992,618,3777,2,1
6289,6289,2,8641,7019,8780,4427,111,9527,3,7848,9047,8045,3474,2079,6807,8321,8095,2096,1910,6436,4713,2232,2,0
6290,6290,0,3805,3409,1412,9667,4595,555,5,8152,9864,3749,5998,3235,7674,5899,2401,9960,9866,7413,9268,1555,2,1
6291,6291,1,3224,4776,7720,9666,9161,3449,2,9126,1164,7220,5947,5720,3453,6478,9617,4818,6207,2252,5282,5169,1,1
6292,6292,2,564,8604,1692,6195,7886,4728,5,5479,5548,1257,1038,4154,1979,6565,2608,4021,1611,4174,8103,171,3,0
6293,6293,2,6010,5859,9955,3892,1810,299,2,1173,2114,5766,2190,8923,7018,2940,5044,4969,88,355,8478,1018,3,1
6294,6294,2,673,3562,9985,3526,384,6059,3,5548,2232,34,851,3235,8154,1474,5822,842,3817,4642,5980,8511,1,1
